OBJECTID,Neighbourhood,Hood_ID,Population,Assault_2014,Assault_2015,Assault_2016,Assault_2017,Assault_2018,Assault_2019,Assault_AVG,Assault_CHG,Assault_Rate_2019,AutoTheft_2014,AutoTheft_2015,AutoTheft_2016,AutoTheft_2017,AutoTheft_2018,AutoTheft_2019,AutoTheft_AVG,AutoTheft_CHG,AutoTheft_Rate_2019,BreakandEnter_2014,BreakandEnter_2015,BreakandEnter_2016,BreakandEnter_2017,BreakandEnter_2018,BreakandEnter_2019,BreakandEnter_AVG,BreakandEnter_CHG,BreakandEnter_Rate_2019,Homicide_2014,Homicide_2015,Homicide_2016,Homicide_2017,Homicide_2018,Homicide_2019,Homicide_AVG,Homicide_CHG,Homicide_Rate_2019,Robbery_2014,Robbery_2015,Robbery_2016,Robbery_2017,Robbery_2018,Robbery_2019,Robbery_AVG,Robbery_CHG,Robbery_Rate_2019,TheftOver_2014,TheftOver_2015,TheftOver_2016,TheftOver_2017,TheftOver_2018,TheftOver_2019,TheftOver_AVG,TheftOver_CHG,TheftOver_Rate_2019,Shape__Area,Shape__Length
54,Runnymede-Bloor West Village,89,10070,26,40,37,37,36,44,36.7,0.22,436.9,14,10,10,20,26,29,18.2,0.12,288,21,25,23,19,22,25,22.5,0.14,248.3,0,0,0,0,0,0,0,0,0,14,17,20,17,17,17,17,0,168.8,1,1,1,0,2,2,1.2,0,19.9,1593977.766,6748.11256
51,Casa Loma,96,10968,25,31,40,35,41,50,37,0.22,455.9,4,3,5,7,16,6,6.8,-0.63,54.7,32,23,19,27,23,34,26.3,0.48,310,0,0,0,0,0,0,0,0,0,5,5,1,9,4,8,5.3,1,72.9,4,5,7,7,2,2,4.5,0,18.2,1922539.65,5937.879715
1,Yonge-St.Clair,97,12528,20,29,39,27,34,37,31,0.09,295.3,2,3,7,2,6,6,4.3,0,47.9,37,20,12,19,24,28,23.3,0.17,223.5,0,0,0,0,0,0,0,0,0,6,5,6,8,5,4,5.7,-0.2,31.9,4,5,8,0,3,6,4.3,1,47.9,1161314.728,5873.270582
101,Mount Pleasant East,99,16775,29,32,22,44,34,47,34.7,0.38,280.2,7,4,9,10,13,16,9.8,0.23,95.4,33,17,16,24,39,49,29.7,0.26,292.1,0,0,0,0,0,0,0,0,0,2,8,3,10,7,13,7.2,0.86,77.5,2,3,1,4,8,3,3.5,-0.63,17.9,3088926.684,11249.91423
55,Forest Hill South,101,10732,17,12,10,27,19,26,18.5,0.37,242.3,4,12,9,12,23,20,13.3,-0.13,186.4,49,18,29,68,42,35,40.2,-0.17,326.1,0,0,0,0,0,0,0,0,0,2,1,1,5,9,16,5.7,0.78,149.1,5,5,5,7,2,4,4.7,1,37.3,2480022.91,7188.574107
34,Forest Hill North,102,12806,24,28,26,37,31,39,30.8,0.26,304.5,12,12,7,13,20,26,15,0.3,203,38,37,19,46,40,38,36.3,-0.05,296.7,0,0,0,0,0,0,0,0,0,5,5,8,7,14,19,9.7,0.36,148.4,3,4,2,3,0,2,2.3,2,15.6,1569106.052,5693.115911
120,Lawrence Park South,103,15179,19,29,20,23,15,30,22.7,1,197.6,15,26,20,14,31,28,22.3,-0.1,184.5,68,46,44,49,36,58,50.2,0.61,382.1,0,0,0,0,0,0,0,0,0,3,6,2,5,5,13,5.7,1.6,85.6,5,3,1,2,3,8,3.7,1.67,52.7,3242276.779,9777.673104
128,Lawrence Park North,105,14607,27,25,22,34,20,38,27.7,0.9,260.1,22,22,13,26,39,18,23.3,-0.54,123.2,34,35,27,29,12,22,26.5,0.83,150.6,1,0,0,0,0,0,0.2,0,0,0,6,4,6,2,5,3.8,1.5,34.2,4,5,3,5,4,4,4.2,0,27.4,2289800.863,6540.183148
127,Steeles,116,24623,43,35,43,40,30,45,39.3,0.5,182.8,19,16,30,31,23,31,25,0.35,125.9,62,59,48,43,63,65,56.7,0.03,264,0,0,0,0,0,0,0,0,0,9,9,17,5,9,9,9.7,0,36.6,2,3,2,7,3,5,3.7,0.67,20.3,4561345.494,8943.759657
22,Centennial Scarborough,133,13362,50,39,48,48,46,48,46.5,0.04,359.2,8,7,5,8,10,19,9.5,0.9,142.2,13,15,19,23,16,29,19.2,0.81,217,0,0,0,1,1,0,0.3,-1,0,10,4,13,11,6,1,7.5,-0.83,7.5,1,1,1,4,2,3,2,0.5,22.5,5468486.344,12038.48119
72,Highland Creek,134,12494,49,50,62,64,43,58,54.3,0.35,464.2,25,11,8,14,20,27,17.5,0.35,216.1,28,36,35,29,30,33,31.8,0.1,264.1,0,1,0,0,0,1,0.3,1,8,16,28,8,15,4,9,13.3,1.25,72,3,5,1,1,3,1,2.3,-0.67,8,5248057.664,9914.922871
37,Guildwood,140,9917,52,38,43,41,47,28,41.5,-0.4,282.3,2,0,4,5,2,3,2.7,0.5,30.3,13,20,18,10,16,10,14.5,-0.38,100.8,0,0,0,0,0,1,0.2,1,10.1,16,6,8,10,2,7,8.2,2.5,70.6,1,2,1,4,1,1,1.7,0,10.1,3804331.105,9830.064411
